year,month,date,mean_temp,max_temp,min_temp,precipitation
2012,1,2012-01-01,0.4,3.1,-2.0,144.6
2012,2,2012-02-01,2.6,5.3,0.4,135.0
2012,3,2012-03-01,3.1,5.6,1.1,117.1
2012,4,2012-04-01,4.3,7.7,1.7,59.7
2012,5,2012-05-01,6.3,9.8,3.2,19.4
2012,6,2012-06-01,10.7,14.5,7.4,13.8
2012,7,2012-07-01,12.4,15.7,9.6,35.0
2012,8,2012-08-01,12.3,15.7,9.9,66.4
2012,9,2012-09-01,7.3,10.3,5.1,101.7
2012,10,2012-10-01,4.4,7.5,1.9,75.9
2012,11,2012-11-01,1.4,3.7,-0.6,85.6
2012,12,2012-12-01,1.2,3.4,-0.9,96.6
2013,1,2013-01-01,2.7,5.2,0.5,119.5
2013,2,2013-02-01,3.9,6.2,2.0,104.1
2013,3,2013-03-01,1.2,4.5,-1.4,41.3
2013,4,2013-04-01,1.9,5.7,-0.8,41.8
2013,5,2013-05-01,5.8,9.3,3.1,44.9
2013,6,2013-06-01,9.9,13.0,7.7,65.6
2013,7,2013-07-01,10.9,14.4,8.5,72.2
2013,8,2013-08-01,10.1,13.1,7.5,86.3
2013,9,2013-09-01,7.1,9.8,5.1,89.7
2013,10,2013-10-01,4.2,6.8,1.9,18.9
2013,11,2013-11-01,2.2,5.0,-0.5,92.7
2013,12,2013-12-01,-0.5,2.0,-2.9,61.6
2014,1,2014-01-01,2.4,4.7,0.3,64.2
2014,2,2014-02-01,1.7,4.2,-0.1,13.6
2014,3,2014-03-01,2.1,5.2,-0.1,115.0
2014,4,2014-04-01,4.9,8.3,2.4,55.8
2014,5,2014-05-01,8.2,11.3,5.8,47.6
2014,6,2014-06-01,11.2,14.1,9.0,115.8
2014,7,2014-07-01,11.8,14.8,9.6,89.3
2014,8,2014-08-01,11.4,14.7,8.7,57.8
2014,9,2014-09-01,9.2,11.9,7.0,153.0
2014,10,2014-10-01,4.2,7.5,1.6,84.1
2014,11,2014-11-01,5.5,7.9,3.4,56.9
2014,12,2014-12-01,-0.7,2.5,-3.8,110.0
2015,1,2015-01-01,-0.3,2.5,-2.9,127.3
2015,2,2015-02-01,-0.1,2.6,-2.8,93.2
2015,3,2015-03-01,0.7,4.0,-2.0,137.3
2015,4,2015-04-01,2.4,5.5,-0.3,47.8
2015,5,2015-05-01,4.5,8.3,1.3,32.3
2015,6,2015-06-01,9.1,12.5,6.4,20.9
2015,7,2015-07-01,11.3,15.0,8.4,34.6
2015,8,2015-08-01,10.9,14.4,8.3,66.2
2015,9,2015-09-01,9.1,12.0,7.0,76.7
2015,10,2015-10-01,5.2,8.1,3.4,159.5
2015,11,2015-11-01,1.8,4.7,-0.8,129.0
2015,12,2015-12-01,-0.2,2.1,-2.7,100.3
2016,1,2016-01-01,0.2,2.3,-1.9,61.5
2016,2,2016-02-01,-0.5,2.4,-3.2,65.1
2016,3,2016-03-01,2.7,5.5,0.5,84.5
2016,4,2016-04-01,4.3,7.8,1.5,30.4
2016,5,2016-05-01,6.6,9.5,4.2,28.0
2016,6,2016-06-01,10.9,13.9,8.7,50.7
2016,7,2016-07-01,12.5,16.4,9.5,40.0
2016,8,2016-08-01,11.8,15.1,9.3,33.4
2016,9,2016-09-01,8.7,12.0,6.1,59.3
2016,10,2016-10-01,7.8,10.0,5.8,206.9
2016,11,2016-11-01,3.5,5.6,1.6,127.4
2016,12,2016-12-01,3.6,6.0,1.3,146.7
2017,1,2017-01-01,1.4,3.9,-1.1,83.4
2017,2,2017-02-01,2.8,5.3,0.7,126.3
2017,3,2017-03-01,1.8,4.8,-0.8,51.5
2017,4,2017-04-01,3.0,6.3,0.2,149.5
2017,5,2017-05-01,8.6,12.1,6.1,84.4
2017,6,2017-06-01,9.9,13.6,7.4,42.6
2017,7,2017-07-01,11.7,15.1,9.2,37.1
2017,8,2017-08-01,10.8,14.6,8.0,39.0
2017,9,2017-09-01,9.7,12.7,7.3,89.4
2017,10,2017-10-01,6.8,9.4,4.8,42.1
2017,11,2017-11-01,0.2,2.8,-2.2,91.5
2017,12,2017-12-01,-0.7,1.8,-2.9,63.6
2018,1,2018-01-01,-0.2,2.3,-2.8,106.8
2018,2,2018-02-01,1.1,3.9,-1.7,159.1
2018,3,2018-03-01,2.3,5.4,-0.2,25.3
2018,4,2018-04-01,5.0,8.1,2.4,57.9
2018,5,2018-05-01,5.7,9.1,3.3,128.8
2018,6,2018-06-01,8.7,11.6,6.6,88.4
2018,7,2018-07-01,10.6,13.8,8.3,62.3
2018,8,2018-08-01,10.4,13.5,8.0,48.1
2018,9,2018-09-01,7.1,10.6,4.5,75.4
2018,10,2018-10-01,3.9,6.7,1.7,113.9
2018,11,2018-11-01,4.2,6.3,2.2,106.7
2018,12,2018-12-01,2.7,5.1,0.7,82.2
2019,1,2019-01-01,0.5,3.2,-2.6,102.9
2019,2,2019-02-01,1.0,3.7,-2.0,72.9
2019,3,2019-03-01,1.1,4.5,-1.4,91.5
2019,4,2019-04-01,6.5,9.8,4.1,81.4
2019,5,2019-05-01,7.7,11.6,4.8,34.0
2019,6,2019-06-01,10.4,14.6,6.9,29.5
2019,7,2019-07-01,13.4,17.0,10.7,56.4
2019,8,2019-08-01,10.8,14.4,8.0,38.4
2019,9,2019-09-01,9.6,12.8,7.3,138.4
2019,10,2019-10-01,5.4,8.1,3.4,77.4
2019,11,2019-11-01,2.4,4.4,0.3,73.1
2019,12,2019-12-01,0.6,3.0,-2.1,71.9
2020,1,2020-01-01,0.3,3.0,-2.3,124.0
2020,2,2020-02-01,0.3,2.8,-2.0,55.4
2020,3,2020-03-01,0.4,3.5,-2.3,86.7
2020,4,2020-04-01,4.0,7.3,1.2,74.6
2020,5,2020-05-01,7.1,10.6,4.2,57.8
2020,6,2020-06-01,10.2,14.0,7.5,49.6
2020,7,2020-07-01,10.7,14.0,8.3,44.7
2020,8,2020-08-01,11.2,14.5,9.1,93.0
2020,9,2020-09-01,7.4,10.3,5.1,105.1
2020,10,2020-10-01,5.8,8.1,3.7,42.1
2020,11,2020-11-01,1.9,4.3,-0.4,80.5
2020,12,2020-12-01,1.8,4.2,-0.8,58.1
2021,1,2021-01-01,-0.3,2.0,-2.6,44.6
2021,2,2021-02-01,2.6,4.9,0.6,49.1
2021,3,2021-03-01,2.3,5.3,0.1,61.4
2021,4,2021-04-01,3.5,6.8,1.0,38.4
2021,5,2021-05-01,5.7,9.6,2.0,38.9
2021,6,2021-06-01,8.6,11.8,6.1,39.1
2021,7,2021-07-01,11.7,14.6,9.8,26.5
2021,8,2021-08-01,12.7,15.3,10.9,56.0
2021,9,2021-09-01,8.3,10.8,6.5,124.4
2021,10,2021-10-01,5.6,8.7,3.2,55.1
2021,11,2021-11-01,2.1,4.9,-0.4,139.6
2021,12,2021-12-01,1.5,3.7,-1.0,92.2
2022,1,2022-01-01,1.2,4.2,-1.6,142.0
2022,2,2022-02-01,-1.3,1.6,-3.8,113.8
2022,3,2022-03-01,2.5,5.0,0.3,209.5
2022,4,2022-04-01,5.1,8.2,2.8,71.6
2022,5,2022-05-01,7.7,11.6,4.7,44.0
2022,6,2022-06-01,9.6,12.7,7.2,66.0
2022,7,2022-07-01,10.6,13.5,8.7,72.6
2022,8,2022-08-01,10.2,13.3,7.7,54.8
2022,9,2022-09-01,9.3,12.6,6.8,97.7
2022,10,2022-10-01,4.9,7.6,2.9,79.7
2022,11,2022-11-01,5.1,7.5,2.8,76.6
2022,12,2022-12-01,-3.9,-1.1,-6.7,34.1
