Mánaðarmeðaltöl fyrir stöð 1 - Reykjavík
stöð	 ár	mán	  t	  tx	  txx	txxD1	  tn	 tnn	tnnD1	 rh	 r	 rx	rxD1	 p	 n	sun	 f
1	2012	3	  3.1	  5.6	  9.6	24	  1.1	 -7.3	18	 82.0	117.1	 17.1	3	1003.7	6.7	62.5	 5.6
1	2012	4	  4.3	  7.7	 10.0	24	  1.7	 -2.5	21	 73.0	 59.7	 20.5	8	1013.6	5.9	153.5	 3.2
1	2012	5	  6.3	  9.8	 15.5	31	  3.2	 -3.0	16	 71.0	 19.4	  5.5	13	1019.0	4.6	296.3	 3.7
1	2012	6	 10.7	 14.5	 18.4	4	  7.4	  4.8	1	 73.0	 13.8	  4.4	28	1017.2	4.8	320.6	 2.6
1	2012	7	 12.4	 15.7	 18.6	15	  9.6	  5.7	10	 79.0	 35.0	  6.2	23	1012.5	5.3	219.7	 2.4
1	2012	8	 12.3	 15.7	 21.3	16	  9.9	  3.2	28	 84.0	 66.4	 15.6	12	1010.5	5.9	164.0	 2.9
1	2012	9	  7.3	 10.3	 13.6	1	  5.1	 -1.2	29	 82.0	101.7	 20.4	6	1001.0	5.6	142.9	 3.8
1	2012	10	  4.4	  7.5	 10.9	4	  1.9	 -2.8	19	 78.0	 75.9	 17.8	11	1011.6	5.0	121.7	 3.0
1	2012	11	  1.4	  3.7	 10.0	15	 -0.6	 -4.1	11	 77.0	 85.6	 19.3	6	 998.2	6.0	33.3	 4.6
1	2012	12	  1.2	  3.4	  7.7	22	 -0.9	 -5.7	18	 73.0	 96.6	 54.6	29	1001.7	5.2	21.9	 4.4
1	2013	1	  2.7	  5.2	 10.7	4	  0.5	 -5.7	1	 79.0	119.5	 13.5	18	 996.2	6.1	12.6	 4.6
1	2013	2	  3.9	  6.2	 10.2	25	  2.0	 -4.5	6	 80.0	104.1	 19.7	10	1005.9	6.0	54.3	 4.8
1	2013	3	  1.2	  4.5	  9.0	31	 -1.4	 -8.4	18	 69.0	 41.3	 12.0	1	1019.7	5.1	162.5	 4.0
1	2013	4	  1.9	  5.7	 10.5	3	 -0.8	 -7.5	11	 68.0	 41.8	 13.7	20	1008.9	4.9	229.1	 3.6
1	2013	5	  5.8	  9.3	 14.5	28	  3.1	 -5.2	2	 73.0	 44.9	  8.3	24	1008.0	5.5	204.3	 3.9
1	2013	6	  9.9	 13.0	 17.5	10	  7.7	  5.4	28	 80.0	 65.6	 11.0	4	1009.2	6.6	121.7	 3.7
1	2013	7	 10.9	 14.4	 20.2	27	  8.5	  3.8	2	 84.0	 72.2	 14.7	6	1009.1	6.6	164.0	 2.8
1	2013	8	 10.1	 13.1	 15.7	23	  7.5	  4.2	6	 81.0	 86.3	 21.2	30	1002.8	6.2	135.3	 3.7
1	2013	9	  7.1	  9.8	 12.9	11	  5.1	  1.0	28	 81.0	 89.7	 19.1	12	1005.8	6.2	120.1	 4.2
1	2013	10	  4.2	  6.8	 11.3	11	  1.9	 -2.8	29	 78.0	 18.9	  6.9	8	1005.3	5.3	101.6	 3.0
1	2013	11	  2.2	  5.0	  9.6	26	 -0.5	 -6.2	18	 75.0	 92.7	 22.1	15	1001.6	6.2	35.4	 4.9
1	2013	12	 -0.5	  2.0	  9.0	1	 -2.9	-12.8	5	 75.0	 61.6	  7.3	15	 985.9	5.7	 9.3	 4.8
1	2014	1	  2.4	  4.7	  7.0	16	  0.3	 -5.0	31	 74.0	 64.2	 14.1	11	 987.9	5.8	19.4	 3.9
1	2014	2	  1.7	  4.2	  7.5	28	 -0.1	 -6.6	15	 62.0	 13.6	  4.4	5	 986.3	5.0	96.3	 4.3
1	2014	3	  2.1	  5.2	 10.6	31	 -0.1	 -9.7	18	 76.0	115.0	 17.9	25	 996.3	6.4	73.2	 4.3
1	2014	4	  4.9	  8.3	 13.2	24	  2.4	 -4.2	17	 75.0	 55.8	  7.8	7	1006.6	6.1	146.2	 4.2
1	2014	5	  8.2	 11.3	 13.8	5	  5.8	  1.1	19	 72.0	 47.6	  9.1	4	1012.8	6.2	189.0	 3.9
1	2014	6	 11.2	 14.1	 16.5	8	  9.0	  7.2	23	 84.0	115.8	 22.0	18	1016.8	6.7	115.4	 2.7
1	2014	7	 11.8	 14.8	 17.5	29	  9.6	  5.7	31	 83.0	 89.3	 17.5	2	1006.4	6.8	116.4	 3.3
1	2014	8	 11.4	 14.7	 19.7	11	  8.7	  5.8	20	 78.0	 57.8	 37.6	31	1010.1	5.8	188.4	 2.9
1	2014	9	  9.2	 11.9	 15.4	14	  7.0	  2.9	28	 86.0	153.0	 16.1	30	1006.3	6.8	81.5	 3.9
1	2014	10	  4.2	  7.5	 14.9	7	  1.6	 -2.6	13	 74.0	 84.1	 14.5	1	 998.1	5.5	105.3	 3.4
1	2014	11	  5.5	  7.9	 12.0	14	  3.4	 -3.3	11	 75.0	 56.9	 16.7	29	 998.9	6.4	27.9	 4.8
1	2014	12	 -0.7	  2.5	  8.2	29	 -3.8	 -9.1	16	 78.0	110.0	 20.2	9	 993.7	5.9	 9.3	 4.4
1	2015	1	 -0.3	  2.5	  8.8	5	 -2.9	 -7.6	18	 78.0	127.3	 23.3	7	 988.5	5.7	29.3	 4.9
1	2015	2	 -0.1	  2.6	  7.5	14	 -2.8	 -9.6	3	 77.0	 93.2	 25.9	15	 994.9	6.6	34.3	 5.5
1	2015	3	  0.7	  4.0	  9.5	14	 -2.0	 -8.9	31	 77.0	137.3	 17.5	14	 995.7	6.0	118.5	 5.2
1	2015	4	  2.4	  5.5	  9.6	19	 -0.3	 -8.5	2	 74.0	 47.8	 10.4	13	1010.4	5.9	149.4	 5.3
1	2015	5	  4.5	  8.3	 11.9	31	  1.3	 -5.9	8	 66.0	 32.3	  7.1	14	1006.1	4.8	277.9	 4.2
1	2015	6	  9.1	 12.5	 19.4	26	  6.4	  1.9	3	 74.0	 20.9	  4.4	8	1012.5	6.1	193.1	 3.2
1	2015	7	 11.3	 15.0	 17.6	4	  8.4	  5.7	27	 74.0	 34.6	 15.0	14	1012.7	6.1	225.7	 2.5
1	2015	8	 10.9	 14.4	 20.7	25	  8.3	  4.5	29	 76.0	 66.2	 14.7	13	1003.5	6.4	158.0	 2.9
1	2015	9	  9.1	 12.0	 14.3	7	  7.0	  2.5	24	 85.0	 76.7	  8.3	23	1008.2	6.3	95.4	 4.0
1	2015	10	  5.2	  8.1	 12.1	29	  3.4	 -3.8	26	 84.0	159.5	 29.8	1	1002.1	6.4	59.9	 3.6
1	2015	11	  1.8	  4.7	 11.0	6	 -0.8	 -9.2	20	 83.0	129.0	 23.0	6	 993.9	5.7	42.3	 3.4
